,Date,Close,Open,High,Low,Volume,Market Cap,Sentiment
0,2018-02-28,10397.9,10687.2,11089.8,10393.1,6936190000,180510000000,0.07030743232
1,2018-02-27,10725.6,10393.9,10878.5,10246.1,6966180000,175536000000,0.0594545249
2,2018-02-26,10366.7,9669.43,10475.0,9501.73,7287690000,163283000000,0.0594545249
3,2018-02-25,9664.73,9796.42,9923.22,9407.06,5706940000,165407000000,0.0594545249
4,2018-02-24,9813.07,10287.7,10597.2,9546.97,6917930000,173682000000,0.0594545249
5,2018-02-23,10301.1,9937.07,10487.3,9734.56,7739500000,167746000000,0.0594545249
6,2018-02-22,10005.0,10660.4,11039.1,9939.09,8040080000,179936000000,0.0594545249
7,2018-02-21,10690.4,11372.2,11418.5,10479.1,9405340000,191927000000,0.1108486034
8,2018-02-20,11403.7,11231.8,11958.5,11231.8,9926540000,189536000000,0.1108486034
9,2018-02-19,11225.3,10552.6,11273.8,10513.2,7652090000,178055000000,0.1108486034
10,2018-02-18,10551.8,11123.4,11349.8,10326.0,8744010000,187663000000,0.1108486034
11,2018-02-17,11112.7,10207.5,11139.5,10149.4,8660880000,172191000000,0.1108486034
12,2018-02-16,10233.9,10135.7,10324.1,9824.82,7296160000,170960000000,0.1108486034
13,2018-02-15,10166.4,9488.32,10234.8,9395.58,9062540000,160025000000,0.1108486034
14,2018-02-14,9494.63,8599.92,9518.54,8599.92,7909820000,145023000000,0.1108486034
15,2018-02-13,8598.31,8926.72,8958.47,8455.41,5696720000,150516000000,0.1108486034
16,2018-02-12,8926.57,8141.43,8985.92,8141.43,6256440000,137258000000,0.1108486034
17,2018-02-11,8129.97,8616.13,8616.13,7931.1,6122190000,145245000000,0.1108486034
18,2018-02-10,8621.9,8720.08,9122.55,8295.47,7780960000,146981000000,0.1108486034
19,2018-02-09,8736.98,8271.84,8736.98,7884.71,6784820000,139412000000,0.1108486034
20,2018-02-08,8265.59,7637.86,8558.77,7637.86,9346750000,128714000000,0.1108486034
21,2018-02-07,7621.3,7755.49,8509.11,7236.79,9169280000,130683000000,0.1108486034
22,2018-02-06,7754.0,7051.75,7850.7,6048.26,13999800000,118810000000,0.1108486034
23,2018-02-05,6955.27,8270.54,8364.84,6756.68,9285290000,139325000000,0.1108486034
24,2018-02-04,8277.01,9175.7,9334.87,8031.22,7073550000,154553000000,0.1108486034
25,2018-02-03,9174.91,8852.12,9430.75,8251.63,7263790000,149085000000,0.1108486034
26,2018-02-02,8830.75,9142.28,9142.28,7796.49,12726900000,153953000000,0.1108486034
27,2018-02-01,9170.54,10237.3,10288.8,8812.28,9959400000,172372000000,0.1108486034
28,2018-01-31,10221.1,10108.2,10381.6,9777.42,8041160000,170183000000,0.1108486034
29,2018-01-30,10106.3,11306.8,11307.2,10036.2,8637860000,190339000000,0.10063371130000001
30,2018-01-29,11296.4,11755.5,11875.6,11179.2,7107360000,197871000000,0.10063371130000001
31,2018-01-28,11786.3,11475.3,12040.3,11475.3,8350360000,193133000000,0.10063371130000001
32,2018-01-27,11440.7,11174.9,11614.9,10989.2,7583270000,188054000000,0.10063371130000001
33,2018-01-26,11171.4,11256.0,11656.7,10470.3,9746200000,189398000000,0.10063371130000001
34,2018-01-25,11259.4,11421.7,11785.7,11057.4,8873170000,192163000000,0.10063371130000001
35,2018-01-24,11359.4,10903.4,11501.4,10639.8,9940990000,183419000000,0.10063371130000001
36,2018-01-23,10868.4,10944.5,11377.6,10129.7,9660610000,184087000000,0.10063371130000001
37,2018-01-22,10931.4,11633.1,11966.4,10240.2,10537400000,195645000000,0.10063371130000001
38,2018-01-21,11600.1,12889.2,12895.9,11288.2,9935180000,216740000000,0.10063371130000001
39,2018-01-20,12899.2,11656.2,13103.0,11656.2,11801700000,195979000000,0.10063371130000001
40,2018-01-19,11607.4,11429.8,11992.8,11172.1,10740400000,192150000000,0.10063371130000001
41,2018-01-18,11474.9,11198.8,12107.3,10942.5,15020400000,188242000000,0.10063371130000001
42,2018-01-17,11188.6,11431.1,11678.0,9402.29,18830600000,192123000000,0.10063371130000001
43,2018-01-16,11490.5,13836.1,13843.1,10194.9,18853800000,232517000000,0.10063371130000001
44,2018-01-15,13819.8,13767.3,14445.5,13641.7,12750800000,231334000000,0.10063371130000001
45,2018-01-14,13772.0,14370.8,14511.8,13268.0,11084100000,241447000000,0.10063371130000001
46,2018-01-13,14360.2,13952.4,14659.5,13952.4,12763600000,234391000000,0.10063371130000001
